idUsuario,nombre,apellido,email,password,rol
2,Leticia Moraleda-Cuenca,Cruz,lpavon@example.com,!Te89OrsGz,Empleado
3,Elpidio Araujo Herrera,Linares,valerioacedo@example.com,T7*TySlO$m,Empleado
4,Severo Girona Alemany,Calvet,vclemente@example.com,Ls1iZ+bPl&,Cliente
5,Gonzalo Fabra-Bueno,Collado,lpombo@example.net,hOvrPqcG(6,Empleado
6,Salomón del Portero,Salvador,graciela11@example.org,LTZ0Vk5zk_,Cliente
7,Francisca del Lastra,Roselló,lastraelvira@example.com,#m2Cn)GC%),Cliente
8,Irene Valderrama-Piquer,Real,aurea95@example.com,S+R7G9kO!f,Cliente
9,Florinda Farré Otero,Águila,pelayo64@example.net,(BCMyP&902,Cliente
10,Anunciación Cepeda Blanca,Ródenas,piedad34@example.net,)jEAreLs5n,Cliente
11,Ruperto Villalobos Iñiguez,Huguet,gabrielblanca@example.com,DX*6XBa3CF,Empleado
12,Abel de Sales,Franco,tribes@example.net,@6NDH1baMC,Empleado
13,Maxi Vilanova Oliva,Bermejo,dtorrent@example.net,$47rEN@ucm,Empleado
14,Cristina Valencia Arévalo,Quevedo,mblanca@example.com,d42AhkjX4%,Empleado
15,Mohamed Dalmau,Fortuny,danilo44@example.com,Ct$!5eFrlS,Empleado
16,Iris del Jimenez,Lladó,arcoabigail@example.com,Z)6ZRx%qvd,Cliente
17,Ana Belén Álvarez Villalba,Ríos,calixta04@example.org,#n9K0ScJ*Y,Cliente
18,Reinaldo Vazquez Nevado,Trillo,ernesto62@example.net,Mh#5HW*w((,Cliente
19,Oriana Oliver Jódar,Bello,nydiafrias@example.org,IEQexjr+%9,Empleado
20,Calisto Ferrán Cuéllar,Barroso,maria-doloresbello@example.net,!nNXZm!5O1,Empleado
21,Joaquín Rico Sierra,Alcalde,tolosajessica@example.net,1k*c%bV6(!,Empleado
22,Jafet Alcántara Morata,Perales,manuelita05@example.org,M%1NqbK*dJ,Cliente
23,Lara de Salom,Fabregat,uartigas@example.org,^slZWjc&&5,Empleado
24,Adriana Pino Dominguez,Dueñas,geraldo72@example.net,L)y09ANy$Y,Empleado
25,Manuel Arsenio Estevez Anaya,Bayona,estrellacarballo@example.com,Tl23J6nFx%,Cliente
26,Felicia Eva María Cerdán Tur,Zamorano,chicoflorentino@example.org,$Y3o0E&kL8,Cliente
27,Estefanía Villalba,Arellano,enriquezdimas@example.net,(5P$caZrYG,Cliente
28,Celia Luz,Gallego,pellicerceferino@example.com,12TE*^#j@o,Empleado
29,Estefanía Nuñez Mena,Ocaña,america45@example.org,BAI@Uq75@1,Cliente
30,Delia Torrecilla Poza,Priego,calisto93@example.org,37wgC(Lt!G,Cliente
31,Valentín Duque Bernad,Bartolomé,xlledo@example.org,#inSE9qG@3,Empleado
32,Ulises Lisandro Landa Alcaraz,Aller,francisca09@example.net,(yCZgPx_S8,Cliente
33,Felisa Llopis Briones,Alcázar,mario41@example.com,7dK7Mgl3_c,Empleado
34,Ariadna Jáuregui,Villa,reyes97@example.net,()9OrLu9a5,Cliente
35,Paz Girón Martín,Gálvez,gvidal@example.net,^m9i%POmU@,Cliente
36,Jorge Tenorio Alsina,Doménech,wgaya@example.net,_&4OE*Y_1t,Cliente
37,Esteban Barragán Asenjo,Comas,tpadilla@example.com,*)drV1lqrD,Empleado
38,Martín Roura Alfaro,Niño,albanovillegas@example.org,(x0Uw0SpY2,Cliente
39,Maite Tur Carbonell,Mulet,norbertoarranz@example.com,G%)b5!EdsJ,Empleado
40,Rosario Padilla Sarabia,Peiró,iurena@example.com,O3l3jFnf&L,Cliente
41,Loreto Izquierdo Valbuena,Salamanca,javier21@example.net,_1QHZClYc5,Empleado
42,Benjamín Barón Bustos,Villena,brunildaborja@example.net,@+TX42q41H,Empleado
43,Aureliano Iborra Núñez,Redondo,demetriograu@example.org,@!2L#2rUzw,Empleado
44,María Jesús Quintanilla Salinas,Diéguez,gimenezdimas@example.com,ukI)EmsY_3,Cliente
45,Soraya Solano Prado,Armas,acabo@example.net,+Q%Fg$$nY0,Empleado
46,Azeneth Ibáñez Barrio,Tomás,inocencioalfonso@example.org,edJ2@)As_y,Empleado
47,Maite Egea Núñez,Lloret,lucho54@example.net,_e6NUNpve(,Empleado
48,Custodio Vicente-Jordá,Ariño,aurelia45@example.org,4IP6YnPy$5,Empleado
49,Bienvenida Granados-Domínguez,Batlle,condeamor@example.org,!F)WmPQpD8,Empleado
50,Herminio Galán Rojas,Toledo,berto50@example.org,^Ar%WeOm%9,Cliente
51,Odalys Ortuño Abascal,Borrás,muropepita@example.net,$ilCp!%4!6,Empleado
52,Loreto Itziar Bertrán Navas,Segura,dsedano@example.org,!j8OYncg^z,Empleado
53,Dani Garrido Guillén,Cobo,tamarapedro@example.org,Jo7&1Xc(^u,Cliente
54,Josué Campos Ramis,Rodriguez,bartolomejuanita@example.net,*(k)QZK0n2,Cliente
55,Morena Escolano Domingo,Verdugo,pfernandez@example.com,)&d1QZ_vpq,Empleado
56,Alfredo Llopis Antúnez,Flores,balbero@example.com,tjE7VgW(^J,Empleado
57,Teresa Raya-Lerma,Fábregas,rita45@example.com,$R73YfoCtU,Cliente
58,Emelina Huerta Cardona,Lamas,molesremedios@example.net,!)Y$6qYckM,Cliente
59,Paz del Amaya,Pavón,nalvarez@example.net,@J2NT1Ayp_,Empleado
60,Gloria Delgado Company,Lladó,callejacustodia@example.com,rp4DEvm*M^,Cliente
61,Amador Casal Castillo,Morales,rupertoprada@example.net,(*3E2EVX!u,Empleado
62,Ricardo Sanz-Marín,Prat,alcaldecustodio@example.com,!4YFdJwdk%,Cliente
63,Desiderio Fermín Mancebo Quiroga,Cantón,dionisio25@example.net,ho&8IEioGn,Cliente
64,Chita Ariño Rocamora,Santamaría,wilfredoriba@example.com,Q@+B(3WuZf,Cliente
65,Lidia Velasco Novoa,Llabrés,bminguez@example.net,w@H1GHvbl&,Empleado
66,Jose Luis Cañellas Calatayud,Gimenez,riveroasdrubal@example.com,3uvB2etm%p,Empleado
67,Benito Higueras-Alvarez,Arenas,trinidadcornejo@example.com,&1OpvJcmvq,Empleado
68,Narciso Núñez,Pujol,ordoneztiburcio@example.org,%6G+P6mD72,Empleado
69,Eusebia Peláez Merino,Arce,barrossoraya@example.com,)k$5_LoBL9,Cliente
70,Candelaria de Peral,Tirado,jaguila@example.com,4FZ38MMwN^,Empleado
71,Otilia Estrada Serna,Gomez,carmonasebastian@example.org,7tk2*IPe%#,Empleado
72,Salomón Aitor Batlle Beltrán,Aranda,pugaesperanza@example.org,LKrqQ5Umy#,Empleado
73,Teodoro Lasa Baños,Carpio,vera37@example.org,$kuzp9Fk7!,Empleado
74,Fátima de Carnero,Alberola,pinillajose-antonio@example.com,!8KApr6$R9,Cliente
75,Victor Manuel Garriga-Hernández,Heredia,nicoolivera@example.com,T8XMuP^a!0,Cliente
76,Olegario Verdejo-Molins,Miguel,filomenanicolau@example.net,1AKfTtd##+,Empleado
77,María Del Carmen Mayol Cervera,Baena,larnau@example.org,&49TNy!i9Z,Cliente
78,Celestina Abellán Mesa,Amo,eduardoprats@example.com,yioq5PjG*1,Cliente
79,Antonio Julio Casals Peiró,Cózar,loperoda@example.com,YC5Ot+(xx_,Empleado
80,Gertrudis Ballesteros-Sola,Moles,ariel36@example.net,_4IaEubpT$,Empleado
81,Soledad Segura Alarcón,Barragán,marcela36@example.org,bl6j1uOy*V,Empleado
82,Ignacio René Arribas Carbó,Carrión,laura02@example.com,*i5@8RBhri,Cliente
83,Jordán Cantón Tovar,Querol,morantecarmela@example.net,Iw3N&dwhl$,Empleado
84,Bibiana Palmer Laguna,Blanca,benitoanaya@example.org,#+@+Y0Ufu9,Cliente
85,Esteban Casanova Revilla,Benitez,pereajosefa@example.com,&ChLIb4h1+,Cliente
86,Delfina Capdevila Manzanares,Alfonso,rogelioposada@example.org,UA1MJmXg%4,Empleado
87,Josefina Portillo Valbuena,Espinosa,pascualatorrent@example.org,NZ^9!8Fpx5,Cliente
88,Marisela Hervia,Boix,jovergraciano@example.net,*2oRHYli*0,Cliente
89,Evita Huertas Borrego,Leiva,marta73@example.com,%0Xsbsa($L,Cliente
90,Ester Ribera-Sierra,Mate,calderonjeremias@example.net,K#&9eAWjMX,Cliente
91,Trinidad de Tovar,Giner,qtaboada@example.net,!c5EzxXyhL,Cliente
92,Aura Nicolau Isern,Cruz,arjonajosue@example.com,0_5)DRhccK,Empleado
93,Itziar Crespi Salmerón,Ripoll,iris72@example.net,#Q1BDn*Nsz,Empleado
94,Kike Blazquez Aranda,Ortiz,piquercleto@example.com,^o3EkafJih,Empleado
95,Cristina Lozano Acosta,Vilar,blanchcustodia@example.com,u462i!Zv!z,Cliente
96,Otilia Alegre Velázquez,Gisbert,vergarapaulino@example.net,J!_)2O3rC2,Cliente
97,Heriberto Esteve Boix,Acuña,hermenegildo22@example.net,%@())4WeyG,Cliente
98,Cruz Fiol Guillen,Cortina,eligio89@example.org,Y5Io*D#g(C,Cliente
99,Ana Sofía Acero Yáñez,Blanes,pascualjacobo@example.org,G%lz2A4gz!,Cliente
100,Maricruz Lillo,Arévalo,esperanza28@example.org,(_X&(9YjnL,Empleado
101,Leandra Cánovas Alcázar,Gomila,luna07@example.com,f%1S0GohQX,Empleado
102,Montserrat Becerra Osorio,Bautista,pascualaolive@example.net,)3KbBB!3aq,Cliente
103,Severino Galindo-Marí,Garay,visitacion28@example.net,1w*Txw6g$3,Empleado
104,Bernarda del Castell,Contreras,cosme91@example.org,$geB+Y%iB2,Cliente
105,Nico del Sobrino,Mármol,juan-bautistaortega@example.com,%6JAsVrZtJ,Cliente
106,Chelo Luís Alberto,Baeza,galvezyolanda@example.com,9Mx3KIar(%,Empleado
107,Gastón Cuadrado Piñol,Bautista,marco41@example.net,#23NU$uaJ!,Cliente
108,Perlita Caro Cobos,Bueno,ismael11@example.org,0o0GObvo%0,Empleado
109,Rosario Santamaria Alberola,Benavent,rosalvacastaneda@example.com,B9PhLo_t!r,Cliente
110,Hector Montes Hoz,Benito,tellezrocio@example.org,9%##Kq#M(o,Empleado
111,Azucena Agustí Barreda,Sanjuan,amormesa@example.com,F2(6O*bFM#,Cliente
112,Chelo Buendía Salazar,Flores,beldaabigail@example.net,uhi8*LvUq@,Cliente
113,Vera Guzmán Mesa,Ureña,eferrero@example.org,D)V7NLlE%d,Empleado
114,Albano Eladio Canet Sureda,Figuerola,vexposito@example.net,l(2R0Isppx,Empleado
115,Edelmiro Peinado Cañizares,Sala,vicentenatalia@example.org,$vv2YxYfW!,Empleado
116,Sebastian Exposito Salvà,Cánovas,olimpiacuenca@example.net,^2UPJ$kfLE,Cliente
117,Gracia Gutiérrez Esteve,Piñol,leocadio97@example.net,n!9A#8!qvO,Empleado
118,Xiomara Landa Barrio,Cuervo,marquesalma@example.com,)uX6xjPl1v,Empleado
119,Nando Roda,Amo,lanino@example.net,^0Ap@H0I$1,Cliente
120,Erasmo Luz,Prats,doroteabonet@example.org,6*IeT1XfHH,Empleado
121,Odalys Clemente Ropero,Escrivá,roldanchaparro@example.org,@p1A0xtxiV,Cliente
122,Maura de Fuster,Torrecilla,cpenalver@example.org,N2@L_^Js+_,Cliente
123,Darío Farré Saura,Hoz,yvaquero@example.org,dl3Z6WzC%m,Cliente
124,Paz Duarte,Otero,yaizabenitez@example.org,PJ9P(KEb)n,Cliente
125,Samanta Carrión Reig,Escalona,vaqueronicolasa@example.net,#K4$Zb)lV&,Cliente
126,Edu del Zapata,Samper,ogallego@example.org,_gCtxvQKU2,Empleado
127,Haydée Zabaleta Chaves,Beltran,pepito02@example.org,yzY&6aIk@9,Empleado
128,Moisés Carballo Valverde,Alfaro,mariselamir@example.org,T_33WDHcdF,Empleado
129,Álvaro Crespo Salazar,Anguita,ecaro@example.org,^554Is8xZr,Cliente
130,Piedad Escolano Millán,Gascón,lucio68@example.org,iG79GIo+!&,Empleado
131,Cecilia Toro Beltrán,Cortés,aura14@example.net,^J4(7Vzv&_,Empleado
132,Rosalina Anastasia Oliver Roma,Codina,jodarpelayo@example.org,k6AmYZ60(U,Cliente
133,Eliana Mancebo,Borrego,ccosta@example.org,e_3EeI7wCH,Cliente
134,Trinidad Arco Losada,Garrido,cornejoluciana@example.org,0t!4W5Wc#0,Empleado
135,Régulo Abellán Suárez,Franco,sebastiancasemiro@example.net,J(4Tp)f2y7,Empleado
136,Salomé Carrasco,Antón,maristela57@example.org,(R01fHo7yi,Empleado
137,Santiago Almagro Vilanova,Mosquera,herminia09@example.net,i0QJZHpe)6,Cliente
138,Emilio Robledo Pedrosa,Páez,vsalazar@example.com,75SLGZAw_n,Cliente
139,Feliciano Cerezo,Gomis,maria92@example.net,&*ELk6pd4@,Empleado
140,Severo Vázquez Ferrán,Vilanova,parragaston@example.net,*OPzfKtF_7,Cliente
141,Baltasar Madrigal Padilla,Mateo,paco37@example.org,8ny+VLjK^z,Cliente
142,Martina Arribas Gutiérrez,Adadia,bbernal@example.org,Wd84iQ+4$(,Cliente
143,Jorge Campillo Agustí,Rios,riquelmelisandro@example.com,aW3RgfA&c!,Empleado
144,Darío Puente Bejarano,Escolano,albertoprats@example.com,q+9LCoOd8O,Cliente
145,Antonio Rincón Fabregat,Dalmau,manceboeliana@example.net,#3&)mXWx%q,Empleado
146,Calista de Toledo,Alemany,tpolo@example.com,d9^xpjNc^%,Empleado
147,Emigdio Robledo Garrido,Torrent,eloy88@example.org,$n%w3I9w0u,Empleado
148,Rebeca Benavente Mármol,Pascual,micaelagallego@example.com,XtrCADxR*4,Cliente
149,Andrea Mariscal Cañellas,Campo,pelayo52@example.org,$3E)RgXOan,Cliente
